baseId,angle,radius,x,z
340,308,81'7",602,-773
341,85,81'11",79,980
342,223,82'2",-722,-672
343,0,82'5",990,7
344,138,82'9",-737,665
345,275,83'0",94,-992
346,53,83'3",602,798
347,190,83'6",-986,-182
348,328,83'10",853,-534
349,105,84'1",-269,973
350,243,84'4",-460,-902
351,20,84'8",952,356
352,158,84'11",-945,382
353,296,85'2",440,-923
354,73,85'6",300,982
355,211,85'9",-887,-523
356,348,86'1",1011,-214
357,126,86'4",-602,843
358,263,86'7",-126,-1032
359,41,86'11",793,678
360,178,87'2",-1046,35
361,316,87'6",750,-735
362,93,87'9",-57,1052
363,231,88'1",-671,-817
364,8,88'4",1050,149
365,146,88'7",-878,601
366,283,88'11",242,-1040
367,61,89'2",525,933
368,198,89'6",-1021,-334
369,336,89'9",982,-445
370,113,90'1",-425,994
371,251,90'4",-360,-1024
372,28,90'8",960,514
373,166,90'11",-1058,270
374,303,91'3",599,-917
375,81,91'6",178,1084
376,218,91'10",-867,-682
377,356,92'2",1103,-83
378,133,92'5",-760,809
379,271,92'9",14,-1113
380,48,93'0",744,833
381,186,93'4",-1115,-112
382,323,93'7",900,-673
383,101,93'11",-210,1108
384,238,94'3",-595,-962
385,16,94'6",1092,308
386,153,94'10",-1017,512
387,291,95'1",405,-1068
388,68,95'5",424,1064
389,206,95'9",-1035,-500
390,343,96'0",1104,-331
391,121,96'4",-592,993
392,258,96'8",-235,-1136
393,36,96'11",944,681
394,173,97'3",-1160,136
395,311,97'7",766,-886
396,88,97'11",34,1175
397,226,98'2",-821,-846
398,3,98'6",1180,69
399,141,98'10",-920,749
400,278,99'2",173,-1177
401,56,99'5",670,988
402,193,99'9",-1165,-277
403,331,100'1",1050,-584
404,108,100'5",-380,1143
405,246,100'8",-493,-1104
406,23,101'0",1113,482
407,161,101'4",-1150,398
408,298,101'8",581,-1073
409,76,102'0",297,1187
410,213,102'3",-1025,-677
411,351,102'7",1216,-194
412,128,102'11",-769,968
413,266,103'3",-87,-1236
414,43,103'7",902,856
415,181,103'11",-1247,-21
416,318,104'3",937,-829
417,96,104'6",-131,1248
418,234,104'10",-749,-1012
419,11,105'2",1240,241
420,149,105'6",-1080,661
421,286,105'10",351,-1221
422,64,106'2",568,1141
423,201,106'6",-1193,-459
424,339,106'10",1194,-469
425,116,107'2",-565,1156
426,254,107'6",-365,-1238
427,31,107'10",1109,668
428,169,108'2",-1273,257
429,306,108'6",767,-1052
430,84,108'10",146,1298
431,221,109'2",-987,-862
432,359,109'6",1314,-32
433,136,109'10",-950,914
434,274,110'2",84,-1320
435,51,110'6",832,1033
436,189,110'10",-1316,-200
437,326,111'2",1109,-743
438,104,111'6",-316,1301
439,241,111'10",-648,-1177
440,19,112'3",1276,431
441,156,112'7",-1236,546
442,294,112'11",545,-1241
443,71,113'3",438,1287
444,209,113'7",-1196,-655
445,346,113'11",1328,-326
446,124,114'3",-762,1141
447,261,114'8",-210,-1360
448,39,115'0",1077,864
449,176,115'4",-1382,91
450,314,115'8",960,-1003
